I, [2016-06-12T08:53:14.618503 #1397]  INFO -- Kitchen: -----> Starting Kitchen (v1.4.2)
E, [2016-06-12T08:53:14.619308 #1397] ERROR -- Kitchen: ------Exception-------
E, [2016-06-12T08:53:14.619400 #1397] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2016-06-12T08:53:14.619463 #1397] ERROR -- Kitchen: Message: Kitchen YAML file /home/ubuntu/workspace/cookbooks/.kitchen.yml does not exist.
E, [2016-06-12T08:53:14.619522 #1397] ERROR -- Kitchen: ------Backtrace-------
E, [2016-06-12T08:53:14.619578 #1397] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2016-06-12T08:53:14.619636 #1397] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/config.rb:145:in `data'
E, [2016-06-12T08:53:14.619691 #1397] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/config.rb:124:in `suites'
E, [2016-06-12T08:53:14.619745 #1397] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/config.rb:175:in `filter_instances'
E, [2016-06-12T08:53:14.619804 #1397] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/config.rb:134:in `build_instances'
E, [2016-06-12T08:53:14.619871 #1397] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/config.rb:110:in `instances'
E, [2016-06-12T08:53:14.619927 #1397] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2016-06-12T08:53:14.619983 #1397] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2016-06-12T08:53:14.620037 #1397] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/command/action.rb:38:in `block in call'
E, [2016-06-12T08:53:14.620106 #1397] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2016-06-12T08:53:14.620161 #1397] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/command/action.rb:37:in `call'
E, [2016-06-12T08:53:14.620242 #1397] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/cli.rb:56:in `perform'
E, [2016-06-12T08:53:14.620299 #1397] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/cli.rb:171:in `block (2 levels) in <class:CLI>'
E, [2016-06-12T08:53:14.620354 #1397] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2016-06-12T08:53:14.620413 #1397] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2016-06-12T08:53:14.620474 #1397] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/cli.rb:308:in `invoke_task'
E, [2016-06-12T08:53:14.620527 #1397] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2016-06-12T08:53:14.620588 #1397] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2016-06-12T08:53:14.620644 #1397] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/bin/kitchen:13:in `block in <top (required)>'
E, [2016-06-12T08:53:14.620697 #1397] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/lib/kitchen/errors.rb:154:in `with_friendly_errors'
E, [2016-06-12T08:53:14.620750 #1397] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.4.2/bin/kitchen:13:in `<top (required)>'
E, [2016-06-12T08:53:14.620815 #1397] ERROR -- Kitchen: /usr/bin/kitchen:14:in `load'
E, [2016-06-12T08:53:14.620888 #1397] ERROR -- Kitchen: /usr/bin/kitchen:14:in `<main>'
E, [2016-06-12T08:53:14.620944 #1397] ERROR -- Kitchen: ----------------------
